rater_id,ratee_id,contribution_pct,score_기여,score_소통,score_진행관리,score_품질,score_역량,comment_text,llmcomment_기여,llmcomment_소통,llmcomment_진행관리,llmcomment_품질,llmcomment_역량
m1,m2,25.9,4,3,3,5,5,문서화 작업을 성실히 해 줘서 후속 작업에도 많은 도움이 됐어.,3,3,3,3,3
m1,m3,14.7,3,4,3,3,3,문제 발생 시 즉시 대처하고 해결책을 제시해줘서 프로젝트가 순조롭게 진행될 수 있었어.,3,3,3,3,3
m1,m4,19.9,5,3,3,4,4,팀원들과의 소통이 원활해져서 협업이 훨씬 수월해졌어.,3,3,3,3,3
m1,m5,15.5,3,3,3,3,3,전체적인 일정 관리에 신경 써줘서 프로젝트 목표를 제때 달성하는 데 기여했어.,3,3,3,3,3
m1,m6,5.8,2,2,2,3,2,일찍 마감된 기한을 준수하지 않아서 프로젝트 일정이 미뤄졌지.,1,3,3,3,3
m2,m1,17.6,4,4,5,4,4,팀원들과의 소통이 원활해져서 협업이 훨씬 수월해졌어.,3,3,3,3,3
m2,m3,12.5,2,5,4,3,4,프로젝트 문서 작성 시 필요한 자료를 성실하게 준비해줘서 많은 도움이 되었어.,3,3,3,3,3
m2,m4,20.8,4,3,3,4,4,항상 팀 회의에 적극적으로 참여해서 좋은 아이디어를 많이 제시해 줬어.,3,3,3,3,3
m2,m5,16.1,3,3,2,3,4,각자 맡은 작업에 대해 중간 점검을 해주면서 팀 전체를 챙겨주는 모습이 인상적이었어.,3,3,3,3,3
m2,m6,6.5,1,3,3,2,2,일찍 마감된 기한을 준수하지 않아서 프로젝트 일정이 미뤄졌지.,1,3,3,3,3
m3,m1,18.8,3,5,5,4,4,어려운 부분에서도 끈기 있게 문제를 해결하려는 자세가 인상적이었어.,3,3,3,3,3
m3,m2,24.0,5,2,4,4,5,이해하기 쉽게 기술적인 부분을 설명해 주어서 모두가 프로젝트에 대해 잘 이해할 수 있었어.,3,3,3,3,3
m3,m4,20.5,4,3,3,5,4,기획 단계에서 사용자 경험을 고려한 디자인을 제안해 줘서 정말 유익했어.,3,3,3,3,3
m3,m5,16.7,3,4,2,3,4,작업이 늦어질 때마다 상황을 잘 파악하고 소통해줘서 팀원들이 걱정하지 않게 했어.,3,3,3,3,3
m3,m6,6.3,1,2,2,2,2,자신의 역할에 대한 책임감이 부족했던 것 같아서 아쉬워.,1,3,3,3,3
m4,m1,19.6,4,5,5,4,4,문서화 작업을 성실히 해 줘서 후속 작업에도 많은 도움이 됐어.,3,3,3,3,3
m4,m2,20.7,5,4,4,5,4,각 기기 간의 연동 문제를 깊이 있게 분석해 주어서 문제 해결에 큰 도움이 됐어.,3,3,3,3,3
m4,m3,17.0,3,5,4,4,4,"자신의 역할을 충실히 수행하며, 필요한 경우 언제든지 도움을 주려는 태도가 좋았어.",3,3,3,3,3
m4,m5,15.1,3,3,3,3,4,전체적인 일정 관리에 신경 써줘서 프로젝트 목표를 제때 달성하는 데 기여했어.,3,3,3,3,3
m4,m6,2.6,1,2,1,2,2,팀 회의에 자주 불참해서 프로젝트 진행이 원활하지 않았던 것 같아.,1,3,3,3,3
m5,m1,18.4,4,4,5,4,5,이해하기 쉽게 기술적인 부분을 설명해 주어서 모두가 프로젝트에 대해 잘 이해할 수 있었어.,3,3,3,3,3
m5,m2,26.1,5,3,4,5,4,항상 팀 회의에 적극적으로 참여해서 좋은 아이디어를 많이 제시해 줬어.,3,3,3,3,3
m5,m3,13.3,2,5,4,3,3,각자 맡은 작업에 대해 중간 점검을 해주면서 팀 전체를 챙겨주는 모습이 인상적이었어.,3,3,3,3,3
m5,m4,20.0,3,1,3,5,4,기획 단계에서 사용자 경험을 고려한 디자인을 제안해 줘서 정말 유익했어.,3,3,3,3,3
m5,m6,7.1,2,1,1,3,3,피드백 요청했을 때 응답이 거의 없어서 소통이 부족했어.,1,3,3,3,3
m6,m1,18.6,3,5,5,4,3,항상 팀 회의에 적극적으로 참여해서 좋은 아이디어를 많이 제시해 줬어.,3,3,3,3,3
m6,m2,24.6,5,4,5,5,4,문서화 작업을 성실히 해 줘서 후속 작업에도 많은 도움이 됐어.,3,3,3,3,3
m6,m3,14.3,3,5,3,4,4,"자신의 역할을 충실히 수행하며, 필요한 경우 언제든지 도움을 주려는 태도가 좋았어.",3,3,3,3,3
m6,m4,23.9,5,2,4,5,5,각 기기 간의 연동 문제를 깊이 있게 분석해 주어서 문제 해결에 큰 도움이 됐어.,3,3,3,3,3
m6,m5,16.8,4,3,3,4,3,각자 맡은 작업에 대해 중간 점검을 해주면서 팀 전체를 챙겨주는 모습이 인상적이었어.,3,3,3,3,3
